maleID	date	videoID	recording_duration	raw_brooding_duration	brooding_duration	raw_brooding_frequency	brooding_frequency	stage	year	nb_clutches	rain_previous_day	max_temp
22-001	26.09.2022	22-00144830	5.24	1.15	0.22	6	1.145038168	early	2022	3	3	33.9
22-001	26.09.2022	22-00144830	5.24	0.04	0.01	4	0.763358779	late	2022	3	3	33.9
22-001	26.09.2022	22-00144830	5.24	1.36	0.26	4	0.763358779	late	2022	3	3	33.9
21-005	28.09.2022	21-00544832	4.46	0	0	0	0	NA	2022	2	20	35.2
21-005	28.09.2022	21-00544832	4.46	0.17	0.04	2	0.448430493	late	2022	2	20	35.2
22-001	28.09.2022	22-00144832	4.59	0.83	0.18	5	1.089324619	late	2022	3	20	35.2
22-001	28.09.2022	22-00144832	4.59	0.04	0.01	4	0.871459695	late	2022	3	20	35.2
22-001	28.09.2022	22-00144832	4.59	1.07	0.23	4	0.871459695	late	2022	3	20	35.2
22-004	29.09.2022	22-00444833	4.43	0.16	0.04	3	0.677200903	late	2022	3	1.5	36.3
22-004	29.09.2022	22-00444833	4.43	0.75	0.17	4	0.902934537	late	2022	3	1.5	36.3
22-004	29.09.2022	22-00444833	4.43	0.01	0	2	0.451467269	late	2022	3	1.5	36.3
21-039	10.10.2022	21-03944844	4.45	0.45	0.1	4	0.898876404	late	2022	3	27.5	31.9
21-039	10.10.2022	21-03944844	4.45	0.05	0.01	4	0.898876404	late	2022	3	27.5	31.9
21-039	10.10.2022	21-03944844	4.45	0.64	0.14	5	1.123595506	late	2022	3	27.5	31.9
21-039	12.10.2022	21-03944846	4.98	0.73	0.15	3	0.602409639	late	2022	3	38	29.9
21-039	12.10.2022	21-03944846	4.98	0.78	0.16	7	1.40562249	late	2022	3	38	29.9
21-039	12.10.2022	21-03944846	4.98	0.32	0.06	5	1.004016064	late	2022	3	38	29.9
21-060	15.10.2022	21-06044849	4.87	0.63	0.13	6	1.232032854	early	2022	2	22	31.6
21-060	15.10.2022	21-06044849	4.87	0	0	0	0	late	2022	2	22	31.6
21-025	24.10.2022	21-02544858	4.86	0.01	0	2	0.411522634	NA	2022	1	19	28.7
21-039	27.10.2022	21-03944861	4.75	0.95	0.2	7	1.473684211	early	2022	3	7	34.4
21-039	27.10.2022	21-03944861	4.75	0.44	0.09	4	0.842105263	late	2022	3	7	34.4
21-039	27.10.2022	21-03944861	4.75	1.07	0.23	7	1.473684211	late	2022	3	7	34.4
21-039	31.10.2022	21-03944865	3.99	0.62	0.16	3	0.751879699	late	2022	3	9	34.3
21-039	31.10.2022	21-03944865	3.99	0.45	0.11	1	0.250626566	late	2022	3	9	34.3
21-039	31.10.2022	21-03944865	3.99	0.86	0.22	4	1.002506266	late	2022	3	9	34.3
22-002	07.11.2022	22-00244872	4.54	2.75	0.61	3	0.660792952	NA	2022	1	48	28.4
22-038	08.11.2022	22-03844873	4.46	0.75	0.17	4	0.896860987	early	2022	1	1	32.8
21-025	16.11.2022	21-02544881	4.73	0	0	1	0.21141649	early	2022	1	11	32.3
23-004	22.09.2023	23-00445191	5.11	4.6	0.9	4	0.782778865	early	2023	1	0	35.7
23-002	24.09.2023	23-00245193	11.25	0	0	0	0	late	2023	3	0	35.8
23-002	24.09.2023	23-00245193	11.25	0.42	0.04	8	0.711111111	early	2023	3	0	35.8
23-002	24.09.2023	23-00245193	11.25	3.93	0.35	7	0.622222222	early	2023	3	0	35.8
23-005	24.09.2023	23-00545193	10.57	4.15	0.39	9	0.851466414	late	2023	2	0	35.8
23-005	24.09.2023	23-00545193	10.57	1.1	0.1	4	0.378429518	late	2023	2	0	35.8
