maleID	date	recording_time	raw_total_brooding_time	total_brooding_time	year	nb_clutches	rain_previous_day	max_temp
22-001	26.09.2022	5.241388889	2.547222222	0.49	2022	3	3	33.9
21-005	28.09.2022	4.465	0.173611111	0.04	2022	2	20	35.2
22-001	28.09.2022	4.594722222	1.943888889	0.42	2022	3	20	35.2
22-004	29.09.2022	4.432222222	0.921388889	0.21	2022	3	1.5	36.3
21-039	10.10.2022	4.446666667	1.135	0.26	2022	3	27.5	31.9
21-039	12.10.2022	4.975555556	1.825555556	0.37	2022	3	38	29.9
21-060	15.10.2022	4.871666667	0.6325	0.13	2022	2	22	31.6
21-025	24.10.2022	4.861111111	0.009166667	0	2022	1	19	28.7
21-039	27.10.2022	4.752777778	2.461944444	0.52	2022	3	7	34.4
21-039	31.10.2022	3.989722222	1.934444444	0.48	2022	3	9	34.3
22-002	07.11.2022	4.536944444	2.745833333	0.61	2022	1	48	28.4
22-038	08.11.2022	4.464722222	0.753611111	0.17	2022	1	1	32.8
21-025	16.11.2022	4.730277778	0.002222222	0	2022	1	11	32.3
23-004	22.09.2023	5.110555556	4.600277778	0.9	2023	1	0	34.7
23-002	24.09.2023	11.25194444	4.355555556	0.39	2023	3	0	35.8
23-005	24.09.2023	10.56555556	5.247222222	0.5	2023	2	0	35.8
23-006	24.09.2023	9.776944444	1.811388889	0.19	2023	1	0	35.8
23-001	25.09.2023	7.780277778	1.453055556	0.19	2023	3	0	36.9
23-011	25.09.2023	9.179444444	1.375	0.15	2023	1	0	36.9
23-022	26.09.2023	9.553333333	3.044166667	0.32	2023	1	0	37.3
23-002	27.09.2023	9.333333333	1.950833333	0.21	2023	2	0	36.1
23-007	27.09.2023	9.645833333	3.923055556	0.41	2023	2	0	36.1
23-004	28.09.2023	7.555277778	3.474444444	0.46	2023	3	19	37.7
23-018	28.09.2023	9.819722222	3.5825	0.36	2023	1	14	37.7
22-043	29.09.2023	9.209166667	4.876111111	0.53	2023	1	14	37.5
23-001	29.09.2023	8.655833333	3.2075	0.37	2023	5	14	37.5
23-010	03.10.2023	7.038888889	4.277777778	0.61	2023	2	20	32.6
23-007	05.10.2023	9.325555556	4.234444444	0.45	2023	3	67	35.5
23-032	05.10.2023	9.663333333	3.990277778	0.41	2023	3	67	35.5
22-039	05.10.2023	9.012777778	4.577777778	0.51	2023	1	67	35.5
23-027	08.10.2023	9.733611111	2.162222222	0.22	2023	1	75	33.1
23-003	09.10.2023	9.098611111	4.144722222	0.46	2023	1	7.5	37
23-054	09.10.2023	9.167777778	6.384444444	0.7	2023	1	7.5	37
23-001	10.10.2023	9.185555556	0	0	2023	2	0	34.2
23-054	14.10.2023	8.999722222	1.870833333	0.21	2023	2	96	34.1
23-009	15.10.2023	9.619166667	3.840277778	0.4	2023	2	21	31.4
23-002	17.10.2023	9.178888889	5.233888889	0.57	2023	1	15	35.1
23-054	17.10.2023	9.398611111	5.116944444	0.54	2023	4	15	35.1
23-010	17.10.2023	9.024722222	3.772222222	0.42	2023	1	15	35.1
22-039	18.10.2023	9.634166667	3.464444444	0.36	2023	1	2.5	34.1
22-014	21.10.2023	9.088888889	4.648055556	0.51	2023	3	86	33.3
23-002	21.10.2023	9.164444444	4.988333333	0.54	2023	2	86	33.3
23-009	21.10.2023	9.215277778	0.289444444	0.03	2023	2	86	33.3
23-002	24.10.2023	9.320277778	4.618888889	0.5	2023	3	10	36.3
23-010	24.10.2023	8.841944444	3.913888889	0.44	2023	2	10	36.3
H23-001	26.10.2023	9.341388889	2.167222222	0.23	2023	2	0	35.6
23-a2	27.10.2023	9.501111111	6.074166667	0.64	2023	3	96	24.5
H23-002	30.10.2023	9.206666667	4.926944444	0.54	2023	5	11.5	32.1
23-100	31.10.2023	9.6525	3.114722222	0.32	2023	2	31	31.5
H23-003	31.10.2023	9.301111111	1.477222222	0.16	2023	2	31	31.5
22-039	31.10.2023	9.106388889	4.288333333	0.47	2023	2	31	31.5
23-110	01.11.2023	8.9425	3.397777778	0.38	2023	3	1	32.9
H23-004	01.11.2023	4.842222222	1.466111111	0.3	2023	2	1	32.9
H23-005	03.11.2023	9.130277778	4.002222222	0.44	2023	3	1	32.9
H23-002	04.11.2023	9.344444444	1.320833333	0.14	2023	4	180	30.1
23-053	07.11.2023	8.988611111	7.928888889	0.88	2023	3	1.5	30.1
23-110	10.11.2023	8.886111111	1.654444444	0.19	2023	4	0	34
23-013	12.11.2023	9.033333333	4.132222222	0.46	2023	2	30	35.2
23-053	12.11.2023	9.028611111	6.823888889	0.76	2023	4	30	35.2
H23-006	12.11.2023	9.158888889	3.68	0.4	2023	1	30	35.2
